Student id,Batch
fw10_208,FT-WEB-10
fw10_136,FT-WEB-10
fw10_022,FT-WEB-10
fw10_190,FT-WEB-10
fw10_036,FT-WEB-10
fw10_025,FT-WEB-10
fw10_130,FT-WEB-10
fw10_101,FT-WEB-10
fw10_122,FT-WEB-10
fw10_099,FT-WEB-10
fw10_055,FT-WEB-10
fw10_169,FT-WEB-10
fw10_202,FT-WEB-10
fw10_214,FT-WEB-10
fw10_181,FT-WEB-10
fw10_098,FT-WEB-10
fw10_046,FT-WEB-10
fw10_090,FT-WEB-10
fw10_056,FT-WEB-10
fw10_132,FT-WEB-10
fw10_039,FT-WEB-10
fw10_123,FT-WEB-10
fw10_117,FT-WEB-10
fw10_085,FT-WEB-10
fw10_104,FT-WEB-10
fw10_052,FT-WEB-10
fw10_066,FT-WEB-10
fw10_144,FT-WEB-10
fw10_216,FT-WEB-10
fw10_112,FT-WEB-10
fw10_012,FT-WEB-10
fw10_017,FT-WEB-10
fw10_204,FT-WEB-10
fw10_079,FT-WEB-10
fw10_179,FT-WEB-10
fw10_019,FT-WEB-10
fw10_081,FT-WEB-10
fw10_213,FT-WEB-10
fw10_154,FT-WEB-10
fw10_103,FT-WEB-10
fw10_135,FT-WEB-10
fw10_171,FT-WEB-10
fw10_221,FT-WEB-10
nj2_161,FT-WEB-10
nj2_072,FT-WEB-10
nj2_097,FT-WEB-10
nj2_117,FT-WEB-10
nj2_100,FT-WEB-10
nj2_148,FT-WEB-10
nj2_026,FT-WEB-10
nj2_150,FT-WEB-10
nj2_110,FT-WEB-10
nj2_096,FT-WEB-10
nj2_083,FT-WEB-10
nj2_049,FT-WEB-10
fa3_057,FT-AD-3
fa3_056,FT-AD-3
fa3_079,FT-AD-3
fa3_080,FT-AD-3
fa3_071,FT-AD-3
fa3_086,FT-AD-3
fa3_058,FT-AD-3
fa3_078,FT-AD-3
fa3_044,FT-AD-3
fa3_065,FT-AD-3
fa3_062,FT-AD-3
fa3_069,FT-AD-3
fa3_051,FT-AD-3
fa3_054,FT-AD-3
